ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,TipoMuestra,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_3,P1001A_4,P1001A_5,P1001A_6,P1001A_6A,P1001A_6B,P1001A_6C,P1002B_1,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_8,P1002B_9,P1002B_10,P1002B_10A,P1002B_10B,OMICAP1000
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00009,1, ,2,1,3,7,53.9102564103,1,1,1,0,1, , , , ,0,0,0,0, , , ,1,0,0,0,0,0,0, , , , ,0,0,0, , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00011,2, ,2,1,3,7,53.9102564103,1,1,1,0,1, , , , ,0,0,0,0, , , ,1,0,0,0,0,0,0, , , , ,0,0,0, , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00022,3, ,2,1,3,7,53.9102564103,1,1,1,0,1, , , , ,0,0,0,0, , , ,1,0,0,0,0,0,0, , , , ,0,0,0, , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00025,4, ,2,1,3,7,53.9102564103,1,1,0,0,1, , , , ,0,0,0,0, , , , , , , , , , , , , , , , , , , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00031,5, ,2,1,3,7,53.9102564103,1,1,0,0,1, , , , ,0,0,0,0, , , , , , , , , , , , , , , , , , , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00042,6, ,2,1,3,7,53.9102564103,1,1,0,0,1, , , , ,0,0,0,0, , , , , , , , , , , , , , , , , , , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00051,7, ,2,1,3,7,53.9102564103,1,1,0,0,0, , , , ,0,0,0,0, , , , , , , , , , , , , , , , , , , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00055,8, ,2,1,3,7,53.9102564103,1,1,1,0,1, , , , ,0,0,0,0, , , ,1,0,0,0,0,0,0, , , , ,0,0,0, , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00063,9, ,2,1,3,7,53.9102564103,1,1,1,0,0, , , , ,0,0,0,0, , , ,1,0,0,0,0,0,0, , , , ,0,0,0, , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00073,10, ,2,1,3,7,53.9102564103,1,1,0,0,1, , , , ,0,0,0,0, , , , , , , , , , , , , , , , , , , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00081,11, ,2,1,3,7,53.9102564103,1,1,0,0,0, , , , ,0,0,0,0, , , , , , , , , , , , , , , , , , , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00084,12, ,2,1,3,7,53.9102564103,1,1,1,0,1, , , , ,0,0,0,0, , , ,1,0,0,0,0,0,0, , , , ,0,0,0, , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00096,14, ,2,1,3,7,53.9102564103,1,1,1,0,1, , , , ,0,0,0,0, , , ,1,0,0,0,0,0,0, , , , ,0,0,0, , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00004,1, ,2,1,3,7,50.0595238095,1,1,1,0,1, , , , ,0,0,0,0, , , ,1,0,0,0,0,0,0, , , , ,0,0,1, , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00019,2, ,2,1,3,7,50.0595238095,1,1,1,0,1, , , , ,0,0,0,0, , , ,1,0,0,1,0,0,0, , , , ,0,0,0, , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00028,3, ,2,1,3,7,50.0595238095,1,1,0,0,1, , , , ,0,0,0,1, , , , , , , , , , , , , , , , , , , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00042,4, ,2,1,3,7,50.0595238095,1,1,0,0,1, , , , ,0,0,0,1, , , , , , , , , , , , , , , , , , , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00051,5, ,2,1,3,7,50.0595238095,1,1,0,0,1, , , , ,0,0,0,0, , , , , , , , , , , , , , , , , , , ,00
2014,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00061,6, ,2,1,3,7,50.0595238095,1,1,1,0,1, , , , ,0,0,0,0, , , ,1,0,0,0,0,0,0, , , , ,0,0,1, , ,00
