ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,Dominio,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002A_7A_1C,P1002A_7A_2C,P1002A_7B_1C,P1002A_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00014,0001, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,250,40,0,0,0,0,290,1000, , ,0,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,100,1130,1420, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00027,0002, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,300,30,0,0,0,0,330,2000, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,20,2020,2350, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00040,0003, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,100,60,0,0,0,0,160,300, , ,0,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,350,510, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00053,0004, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,300,0,0,0,0,0,300,5000, , ,0,0,60,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,5060,5360, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00059,0005, ,1,2,6,162.719047619,1,1,1,0,0,0,90,0, , ,3, ,0,0,500,30,0,0,0,0,620,5000, , ,0,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,150,5200,5820, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00072,0006, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,250,0,0,0,0,0,250,5000, , ,0,0,120,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,5120,5370, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00074,0007, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,250,30,0,0,0,0,280,1000, , ,0,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,100,1150,1430, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00087,0008, ,1,2,6,162.719047619,1,1,1,0,0,0,30,0, , ,1, ,0,0,250,20,0,0,0,0,300,5000, , ,0,0,20,0,0,0,0,0,0, , , , ,200,0,0,0,0,100,5320,5620, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00110,0009, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,200,100,0,0,0,0,300,5000, , ,0,0,100,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,5100,5400, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00111,0010, ,1,2,6,162.719047619,1,1,1,0,0,0,90,0, , ,3, ,0,0,200,90,0,0,0,0,380,2000, , ,0,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,20,2050,2430, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00128,0011, ,1,2,6,162.719047619,1,1,1,0,0,0,120,0, , ,4, ,0,0,250,0,0,0,0,0,370,1000, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,10,1010,1380, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00137,0012, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,300,10,0,0,0,0,310,500, , ,0,0,80,0,0,0,0,0,0, , , , ,0,0,0,0,0,200,780,1090, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00157,0013, ,1,2,6,162.719047619,1,1,1,0,0,0,500,150, , ,10,5,0,0,0,200,0,0,0,500,1350,5000, , ,100,0,200,0,0,0,0,150,0, , ,5, ,0,0,0,0,0,50,5500,6850, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00166,0014, ,1,2,6,162.719047619,1,1,0,0,0,0,0,0, , , , ,0,0,0,75,0,0,0,0,75, , , , , , , , , , , , , , , , , , , , , , , ,75, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00024,0002, ,1,3,7,50.0595238095,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,600,600,360, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,360,960, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00028,0003, ,1,3,7,50.0595238095,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,120,120, , , , , , , , , , , , , , , , , , , , , , , ,120, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00049,0004, ,1,3,7,50.0595238095,1,1,1,0,0,0,900,0, , ,3, ,0,0,0,0,0,0,0,50,950,1110, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,10,1120,2070, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00076,0006, ,1,3,7,50.0595238095,1,1,1,0,0,0,0,0, , , , ,0,0,350,0,0,0,0,50,400,600, , ,20,60,0,60,0,0,0,0,0, , , , ,0,0,0,0,0,0,740,1140, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00089,0007, ,1,3,7,50.0595238095,1,1,0,0,0,0,0,0, , , , ,0,0,15,0,0,0,0,10,25, , , , , , , , , , , , , , , , , , , , , , , ,25, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00097,0008, ,1,3,7,50.0595238095,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,50,50, , , , , , , , , , , , , , , , , , , , , , , ,50, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00118,0009, ,1,3,7,50.0595238095,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,900,900,250, , ,0,0,18,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,268,1168, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00139,0010, ,1,3,7,50.0595238095,1,1,0,0,0,0,0,0, , , , ,0,0,400,0,0,0,0,80,480, , , , , , , , , , , , , , , , , , , , , , , ,480, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00151,0012, ,1,3,7,50.0595238095,1,1,0,0,0,0,500,280, , ,10,7,10,0,0,0,0,30,0,0,820, , , , , , , , , , , , , , , , , , , , , , , ,820, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00176,0013, ,1,3,7,50.0595238095,1,1,0,0,0,0,1200,0, , ,5, ,0,0,0,0,0,0,0,50,1250, , , , , , , , , , , , , , , , , , , , , , , ,1250, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00216,0014, ,1,3,7,50.0595238095,1,1,0,0,0,0,400,400, , ,10,10,0,0,0,0,0,100,0,0,900, , , , , , , , , , , , , , , , , , , , , , , ,900, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00006,0001, ,1,2,6,175.2358974359,1,1,1,0,0,0,180,0, , ,6, ,0,0,258,0,0,0,0,0,438,400, , ,0,165,200,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,765,1203, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00009,0002, ,1,2,6,175.2358974359,1,1,1,300,0,0,60,30, , ,2,1,0,0,0,0,0,0,0,0,390,200, , ,0,42,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,292,682, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00021,0003, ,1,2,6,175.2358974359,1,1,1,0,0,0,150,0, , ,5, ,0,0,172,0,0,0,0,0,322,180, , ,0,225,300,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,705,1027, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00031,0004, ,1,2,6,175.2358974359,1,1,1,0,0,0,60,0, , ,2, ,0,0,0,0,0,0,0,0,60,60, , ,0,20,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,80,140, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00032,0005, ,1,2,6,175.2358974359,1,1,1,0,0,0,90,0, , ,3, ,0,0,0,0,0,0,0,0,90,150, , ,0,48,48,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,246,336, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00042,0006, ,1,2,6,175.2358974359,1,1,1,120,0,0,0,0, , , , ,0,0,172,0,0,0,0,0,292,150, , ,0,0,80,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,230,522, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00053,0007, ,1,2,6,175.2358974359,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,0, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00055,0008, ,1,2,6,175.2358974359,1,1,1,0,0,0,120,0, , ,4, ,0,0,0,0,0,0,0,0,120,120, , ,0,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,140,260, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00066,0009, ,1,2,6,175.2358974359,1,1,1,0,0,0,120,0, , ,4, ,0,0,0,0,0,0,0,0,120,230, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,230,350, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00080,0011, ,1,2,6,175.2358974359,1,1,0,0,0,0,60,0, , ,2, ,0,0,0,0,0,0,0,0,60, , , , , , , , , , , , , , , , , , , , , , , ,60, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00085,0012, ,1,2,6,175.2358974359,1,1,1,0,0,0,180,0, , ,6, ,0,0,516,0,0,0,0,0,696,50, , ,0,24,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,30,134,830, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00094,0013, ,1,2,6,175.2358974359,1,1,1,0,0,0,90,30, , ,3,1,0,0,0,0,0,0,0,0,120,150, , ,0,42,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,242,362, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00097,0014, ,1,2,6,175.2358974359,1,1,1,0,0,0,60,0, , ,2, ,0,0,0,0,0,0,0,0,60,200, , ,0,6,7,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,213,273, 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00006,0001, ,1,2,6,189.8388888889,1,0,1, , , , , , , , , , , , , , , , , , ,0, , ,0,0,0,0,0,0,0,60,0, , ,2, ,0,0,0,0,0,50,110,110, 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00026,0003, ,1,2,6,189.8388888889,1,1,1,0,0,0,80,0, , ,2, ,0,0,800,0,0,40,0,0,920,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,100,100,1020, 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00028,0004, ,1,2,6,189.8388888889,1,1,1,0,0,0,60,0, , ,2, ,0,0,800,0,0,40,0,0,900,0, , ,30,0,30,20,0,0,0,0,0, , , , ,0,0,0,0,0,40,120,1020, 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00054,0005, ,1,2,6,189.8388888889,1,0,1, , , , , , , , , , , , , , , , , , ,200, , ,100,50,800,200,0,1000,0,0,0,2, , , ,0,0,0,0,0,400,2750,2750, 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00072,0007, ,1,2,6,189.8388888889,1,1,1,0,0,0,60,0, , ,2, ,0,0,200,0,0,0,0,0,260,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,20,20,280, 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00078,0008, ,1,2,6,189.8388888889,1,1,1,0,0,0,40,0, , ,1, ,0,0,300,0,0,40,0,0,380,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,80,80,460, 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00095,0009, ,1,2,6,189.8388888889,1,0,1, , , , , , , , , , , , , , , , , , ,50, , ,0,0,0,0,0,300,0,0,0,1, , , ,0,0,0,0,0,0,350,350, 
