ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002A_7A_1C,P1002A_7A_2C,P1002A_7B_1C,P1002A_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2016,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00009,1, ,1,2,6,162.719047619048,1,1,1,0,0,0,75,0, , ,2, ,0,0,210,0,0,0,0,16,301,400, , ,0,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,6,426,727, 
2016,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00022,2, ,1,2,6,162.719047619048,1,1,1,0,0,0,550,0, , ,5, ,0,0,330,0,0,0,0,60,940,5700, , ,0,0,60,0,0,0,0,0,0, , , , ,280,0,0,0,0,0,6040,6980, 
2016,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00034,3, ,1,2,6,162.719047619048,1,1,1,0,0,0,140,0, , ,2, ,0,0,450,0,0,0,0,19,609,3700, , ,0,0,60,0,0,0,0,0,0, , , , ,65,0,0,0,0,8,3833,4442, 
2016,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00048,4, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,75,0,0,0,0,9,84,1800, , ,0,0,15,0,0,0,0,0,0, , , , ,200,0,0,0,0,0,2015,2099, 
2016,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00057,5, ,1,2,6,162.719047619048,1,1,1,0,0,0,270,270, , ,3,3,0,0,19,0,0,0,0,40,599,6800, , ,0,0,60,0,0,0,0,0,0, , , , ,60,0,0,0,0,0,6920,7519, 
2016,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00066,6, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,45,0,0,0,0,0,45,350, , ,0,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,360,405, 
2016,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00081,7, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,500,0,0,0,0,16,516,5400, , ,0,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,25,5455,5971, 
2016,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00090,8, ,1,2,6,162.719047619048,1,1,1,0,0,0,500,0, , ,6, ,0,0,780,0,0,0,0,125,1405,9500, , ,0,0,120,0,0,0,0,0,0, , , , ,500,0,0,0,0,0,10120,11525, 
2016,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00103,9, ,1,2,6,162.719047619048,1,1,1,0,0,0,50,0, , ,2, ,0,0,225,0,0,0,0,14,289,600, , ,0,0,45,0,0,0,0,0,0, , , , ,250,0,0,0,0,0,895,1184, 
2016,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00115,10, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,82,0,0,0,0,8,90,800, , ,0,0,20,0,0,0,0,0,0, , , , ,90,0,0,0,0,0,910,1000, 
