ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00003,1, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,400, , , ,2,0,0,6580,0,0,0,0,0,6980,200, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,200,7180, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00009,2, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,290,0,0,0,0,0,290,200, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,200,490, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00010,3, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,402,0,0,0,0,0,402,500, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,500,902, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00015,4, ,1,2,6,162.719047619048,1,1,0,0,0,0,0,0, , , , ,0,0,1250,0,0,0,0,0,1250, , , , , , , , , , , , , , , , , , , , , , , ,1250, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00025,5, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,1649,0,0,0,0,0,1649,200, , ,0,0,15,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,215,1864, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00033,6, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,916,0,0,0,0,0,916,500, , ,0,0,15,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,515,1431, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00047,7, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,634,0,0,0,0,0,634,400, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,400,1034, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00056,8, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,2805,0,0,0,0,0,2805,500, , ,10,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,520,3325, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00067,9, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,300, , , ,1,0,0,3914,0,0,0,0,0,4214,500, , ,5,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,515,4729, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00071,10, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,1656,0,0,0,0,0,1656,800, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,800,2456, 
