ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00001,1, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,82,0,0,0,0,0,82,25, , ,0,0,80,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,105,187, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00002,2, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,120,0, , ,2, ,0,0,200,0,0,0,0,0,320,50, , ,0,0,40,15,0,0,0,0,0, , , , ,351,0,0,0,0,0,456,776, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00014,3, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,322,0,0,0,0,0,322,50, , ,0,0,40,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,90,412, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00024,4, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,138,0,0,0,0,0,138,10, , ,0,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,60,198, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00032,5, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,150,75, , ,2,1,0,0,230,0,0,0,0,0,455,30, , ,0,0,40,0,0,0,0,0,0, , , , ,240,0,0,0,0,0,310,765, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00034,6, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,350,0,0,0,0,0,350,70, , ,0,0,300,0,0,0,0,0,0, , , , ,500,0,0,0,0,0,870,1220, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00046,7, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,92,0,0,0,0,0,92,50, , ,0,0,25,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,75,167, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00055,8, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,230,0,0,0,0,0,230,30, , ,0,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,80,310, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00059,9, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,138,0,0,0,0,0,138,20, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,20,158, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00062,10, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,105,0,0,0,0,0,105,20, , ,0,0,25,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,45,150, 
