ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1C,P1002B_1D,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_9C,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00008,1,1,2,6,187.752747252747,1, ,1,1,0,0,0,90,0, , ,1, ,0,0,600,0,0,0,0,0,690,3000,0, , ,0,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,3030,3720, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00015,2,1,2,6,187.752747252747,1, ,1,1,0,0,0,540,40, , ,4,1,0,0,1800,0,0,0,0,0,2380,4000,0, , ,100,150,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,4250,6630, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00031,3,1,2,6,187.752747252747,1, ,1,1,0,0,0,400,0, , ,2, ,0,0,900,0,0,0,0,0,1300,2700,0, , ,0,0,60,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,2770,4070, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00037,4,1,2,6,187.752747252747,1, ,1,1,0,0,0,200,0, , ,1, ,0,0,780,0,0,0,0,0,980,960,0, , ,0,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,990,1970, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00044,5,1,2,6,187.752747252747,1, ,1,1,0,0,0,220,0, , ,3, ,0,0,175,0,0,0,0,0,395,900,0, , ,0,0,20,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,930,1325, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00046,6,1,2,6,187.752747252747,1, ,1,1,0,0,0,270,0, , ,2, ,0,0,3500,0,0,0,0,0,3770,3000,0, , ,200,0,400,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,3600,7370, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00055,8,1,2,6,187.752747252747,1, ,1,1,0,0,0,252,0, , ,2, ,0,0,660,0,0,0,0,0,912,3200,0, , ,80,150,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,3430,4342, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00066,9,1,2,6,187.752747252747,1, ,1,1,0,0,0,0,0, , , , ,0,0,300,120,0,0,0,0,420,1200,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,1200,1620, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00078,10,1,2,6,187.752747252747,1, ,1,1,0,0,0,135,0, , ,1, ,0,0,280,0,0,0,0,0,415,3000,0, , ,0,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,3020,3435, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00094,12,1,2,6,187.752747252747,1, ,1,1,0,0,0,240,0, , ,2, ,0,0,1050,0,0,0,0,0,1290,5200,0, , ,20,75,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,5295,6585, 
