ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P142_1,P142_2,P142_3,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1C,P1002B_1D,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_9C,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,P1206,OMICAP1000
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07796,01,01,1,3,210384002,2395.60961914063,1,1,0,0,0,0,0,160,0, , ,1, ,0,0,0,0,0,50,0,0,210, , , , , , , , , , , , , , , , , , , , , , , ,210,1, 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07797,01,01,1,3,210392002,33.8926086425781,1,1,0,0,0,0,0,50,0, , ,1, ,0,0,0,0,0,50,0,50,150, , , , , , , , , , , , , , , , , , , , , , , ,150,1, 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07797,02,02,1,3,210392002,24.9333057403564,1,1,1,0,0,0,0,200,0, , ,1, ,0,0,0,0,0,0,0,0,200,600,0,0,0,0,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,610,810,2, 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07798,01,01,1,3,210393002,5.13160181045532,1,1,0,0,0,0,0,4800,0, , ,10, ,0,0,0,0,0,0,50,120,4970, , , , , , , , , , , , , , , , , , , , , , , ,4970,2, 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07799,01,01,1,3,210383004,35.7702484130859,1,1,0,0,0,0,0,6000,3200, , ,5,4,0,0,0,0,0,120,0,0,9320, , , , , , , , , , , , , , , , , , , , , , , ,9320,1, 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07800,01,01,1,3,210392003,5.80259132385254,1,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07801,01,01,1,3,210392004,1.00875234603882,1,1,1,0,0,0,0,1170,0, , ,3, ,0,0,0,0,0,0,300,400,1870,1000,230,50,0,30,20,0,0,0,0,0, , , , ,0,0,0,0,0,0,50,1380,3250,2, 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07801,02,02,1,3,210392004,8.47548484802246,1,1,1,0,0,0,0,640,0, , ,2, ,0,0,0,0,0,410,200,0,1250,5000,0,50,0,80,0,0,0,0,0,0, , , , ,0,0,0,0,100,0,0,5230,6480,1, 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07801,03,03,1,3,210392004,30.300464630127,1,1,1,0,0,0,0,7500,160, , ,15,1,0,0,0,1200,0,0,300,250,9410,2000,120,20,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,2460,11870,1, 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07801,04,04,1,3,210392004,5.97342538833618,1,1,1,0,0,0,0,12800,560, , ,10,2,0,0,0,0,0,0,300,100,13760,500,100,20,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,100,750,14510,1, 
2023,21,PUNO,03,CARABAYA,03,AYAPATA,07801,05,05,1,3,210392004,50.0787620544434,1,1,1,0,0,0,0,4000,0, , ,10, ,0,0,0,0,0,0,300,370,4670,300,100,50,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,80,560,5230,1, 
