ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1C,P1002B_1D,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_9C,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,P1109A,P1109B,P1110,P1110A,P1206,OMICAP1000
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10884,01,01,1,2,211342001,108.581275939941,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,100,0,0,0,0,300,400,300,50, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,10,360,760,1,1,1, ,1, 
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10884,02,02,1,2,211342001,500.828948974609,1, ,1,1,0,0,0,0,50,0, , ,1, ,0,0,100,0,0,0,0,300,450,500,400, , ,0,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,920,1370,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10884,03,03,1,2,211342001,90.6285018920898,1, ,1,1,0,120,0,0,0,0, , , , ,0,0,100,0,0,0,20,50,290,100,50, , ,0,0,0,0,50,0,0,0,0, , , , ,0,0,0,0,0,0,0,200,490,1,4,1, ,1, 
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10884,04,04,1,2,211342001,78.3851699829102,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,100,0,0,0,0,300,400,300,100, , ,0,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,10,430,830,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10885,01,01,1,2,211344002,33.8069877624512,1, ,1,0,0,0,0,0,0,0, , , , ,0,0,150,0,0,0,0,0,150, , , , , , , , , , , , , , , , , , , , , , , , , ,150,2, ,1, ,2, 
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10885,02,02,1,2,211344002,39.4917335510254,1, ,1,1,0,200,0,0,0,0, , , , ,0,0,75,0,0,0,10,0,285,0,100, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,100,385,1,1,2, ,1, 
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10885,03,03,1,2,211344002,10.7647542953491,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,1000,1000, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,2000,2000,2, ,1, ,2, 
2024,21,PUNO,13,YUNGUYO,05,OLLARAYA,10886,01,01,1,2,211341004,2.10555791854858,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,260,0,0,0,0,200,460,400,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,20,420,880,1,2,1, ,1, 
2024,21,PUNO,13,YUNGUYO,05,OLLARAYA,10886,02,02,1,2,211341004,12.2232675552368,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,480,0,0,0,0,60,540,400,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,400,940,1,2,1, ,1, 
2024,21,PUNO,13,YUNGUYO,05,OLLARAYA,10886,03,03,1,2,211341004,18.4510326385498,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,300,0,0,0,0,30,330,200,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,200,530,1,2,2, ,1, 
2024,21,PUNO,13,YUNGUYO,05,OLLARAYA,10886,04,04,1,2,211341004,8.94357681274414,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,250,0,0,0,0,200,450,1000,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,1000,1450,2, ,2, ,1, 
2024,21,PUNO,13,YUNGUYO,05,OLLARAYA,10886,05,05,1,2,211341004,.465279012918472,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,100,0,0,0,0,220,320,600,0, , ,0,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,100,750,1070,2, ,2, ,1, 
2024,21,PUNO,13,YUNGUYO,05,OLLARAYA,10886,06,06,1,2,211341004,3.79234743118286,1, ,1,1,0,0,0,0,1500,0, , ,10, ,0,0,250,200,0,0,20,300,2270,300,300, , ,50,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,10,660,2930,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,05,OLLARAYA,10886,07,07,1,2,211341004,.00937012117356062,1, ,1,1,0,840,0,0,0,0, , , , ,0,0,2000,0,0,0,0,180,3020,500,480, , ,10,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,20,1040,4060,1,4,1, ,1, 
2024,21,PUNO,13,YUNGUYO,04,CUTURAPI,10887,01,01,1,2,211353003,30.2910118103027,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,300,0,0,35,20,400,755,1800,2000, , ,0,0,100,0,0,0,0,0,0, , , , ,155,0,0,0,0,0,30,4085,4840,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,04,CUTURAPI,10887,02,02,1,2,211353003,14.8233070373535,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,1000,0,0,0,0,120,1120,680,50, , ,0,0,45,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,40,815,1935,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10888,01,01,1,2,211342002,13.5996570587158,1, ,1,0,0,160,0,0,0,0, , , , ,0,0,50,0,0,0,0,30,240, , , , , , , , , , , , , , , , , , , , , , , , , ,240,1,7,2, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10888,02,02,1,2,211342002,14.4860048294067,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,300,0,0,0,0,120,420,400,320, , ,0,0,68,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,110,898,1318,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10888,06,06,1,2,211342002,15.9332695007324,1, ,1,1,0,0,0,0,140,0, , ,2, ,0,0,650,0,0,120,0,90,1000,1360,1100, , ,0,0,135,0,0,0,0,0,0, , , , ,640,0,0,0,0,120,30,3385,4385,1,6,2, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10888,09,09,1,2,211342002,16.5341186523438,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,60,0,60,120,800,1450, , ,0,0,60,40,0,0,0,0,0, , , , ,0,0,0,0,0,0,35,2385,2505,2, ,2, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10888,10,10,1,2,211342002,19.5158176422119,1, ,1,1,0,0,0,0,280,0, , ,2, ,0,0,600,0,0,400,30,240,1550,3000,60, , ,0,0,240,0,0,0,0,0,0, , , , ,1920,0,0,0,0,0,85,5305,6855,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10888,11,11,1,2,211342002,6.51918363571167,1, ,1,1,0,3000,0,0,0,0, , , , ,5,0,3360,0,0,0,0,70,6435,920,0, , ,0,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,20,990,7425,1,2,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10888,12,12,1,2,211342002,8.00357151031494,1, ,1,1,0,0,0,0,140,0, , ,1, ,0,0,600,0,0,70,0,70,880,560,0, , ,0,0,80,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,640,1520,1,6,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,01,01,1,2,211341003,32.6221046447754,1, ,1,0,0,0,0,0,0,0, , , , ,0,0,300,0,0,0,0,90,390, , , , , , , , , , , , , , , , , , , , , , , , , ,390,1,2,2, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,02,02,1,2,211341003,100.360572814941,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,300,0,0,0,30,90,420,850,0, , ,25,30,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,25,930,1350,1,1,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,03,03,1,2,211341003,10.2492704391479,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,300,0,0,0,30,60,390,540,0, , ,35,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,35,610,1000,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,04,04,1,2,211341003,.960248470306396,1, ,1,1,0,0,0,0,200,0, , ,2, ,0,0,300,0,0,0,30,260,790,1620,0, , ,45,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,55,1720,2510,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,05,05,1,2,211341003,145.978286743164,1, ,1,0,0,0,0,0,50,0, , ,1, ,0,0,0,0,0,0,0,60,110, , , , , , , , , , , , , , , , , , , , , , , , , ,110,1,3,2, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,06,06,1,2,211341003,55.8753280639648,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,300,0,0,0,30,90,420,130,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,15,145,565,1,3,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,07,07,1,2,211341003,36.7954483032227,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,180,0,0,0,0,120,300,375,100, , ,15,0,35,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,20,555,855,1,4,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,08,08,1,2,211341003,31.8215637207031,1, ,1,1,0,0,0,0,150,0, , ,1, ,0,0,350,0,0,0,0,160,660,450,180, , ,15,0,45,10,60,0,0,0,0, , , , ,0,0,0,0,0,0,15,775,1435,1,1,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,09,09,1,2,211341003,18.0492420196533,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,75,0,0,50,0,80,205,100,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,20,80,200,405,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,10,10,1,2,211341003,78.0469284057617,1, ,1,1,0,0,0,0,140,0, , ,1, ,0,0,385,0,0,50,0,180,755,280,100, , ,15,0,25,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,25,445,1200,1,4,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,11,11,1,2,211341003,81.5936889648438,1, ,1,1,0,0,0,0,200,0, , ,2, ,0,0,150,0,0,350,0,300,1000,260,120, , ,10,60,60,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,30,540,1540,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,12,12,1,2,211341003,8.38621616363525,1, ,1,1,0,0,0,0,100,0, , ,2, ,0,0,0,0,0,110,50,220,480,900,120, , ,10,40,80,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,20,1170,1650,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,13,13,1,2,211341003,6.71149301528931,1, ,1,1,0,0,0,0,55,0, , ,1, ,0,0,500,0,0,0,0,85,640,350,100, , ,25,0,50,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,25,560,1200,1,1,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,14,14,1,2,211341003,28.4651393890381,1, ,1,0,0,0,0,0,60,0, , ,1, ,0,0,75,0,0,0,0,75,210, , , , , , , , , , , , , , , , , , , , , , , , , ,210,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,15,15,1,2,211341003,3.42410135269165,1, ,1,1,0,0,0,0,60,50, , ,1,1,0,0,60,0,0,0,0,80,250,120,120, , ,12,0,25,0,30,0,0,0,0, , , , ,0,0,0,0,0,0,35,342,592,1,1,1, ,1, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,16,16,1,2,211341003,12.8534250259399,1, ,1,1,0,0,0,0,150,0, , ,1, ,0,0,765,0,0,0,0,250,1165,350,150, , ,15,0,30,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,25,580,1745,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,01,01,1,2,211341003,3.02346348762512,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,500,0,0,0,0,500,1000,1000,0, , ,10,50,0,0,0,0,0,0,0, , , , ,450,0,0,0,0,0,20,1530,2530,1,1,2, ,1, 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,02,02,1,2,211341003,19.8325061798096,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,100,0,0,0,0,250,350,500,300, , ,0,0,0,0,50,0,0,0,0, , , , ,1000,0,0,0,0,0,20,1870,2220,1,1,2, ,1, 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,03,03,1,2,211341003,40.6427612304688,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,200,0,0,0,0,500,700,500,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,15,515,1215,1,1,2, ,1, 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,04,04,1,2,211341003,447.718078613281,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,500,0,0,0,0,350,850,500,200, , ,10,68,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,25,803,1653,1,1,2, ,1, 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,05,05,1,2,211341003,196.267242431641,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,100,0,0,0,0,200,300,500,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,20,520,820,2, ,2, ,1, 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,06,06,1,2,211341003,355.615692138672,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,100,0,0,0,0,150,250,250,50, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,300,550,2, ,2, ,1, 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,07,07,1,2,211341003,13.4168376922607,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,300,0,0,0,0,450,750,450,500, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,20,970,1720,1,1,2, ,1, 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,08,08,1,2,211341003,10.5491333007813,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,120,0,0,0,0,200,320,150,50, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,20,220,540,1,1,2, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,01,01,1,2,211341003,35.583984375,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,95,0,0,20,0,0,115,300,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,15,315,430,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,02,02,1,2,211341003,113.484069824219,1, ,1,0,0,0,0,0,0,0, , , , ,0,0,45,0,0,0,0,0,45, , , , , , , , , , , , , , , , , , , , , , , , , ,45,2, ,2, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,03,03,1,2,211341003,28.9439544677734,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,390,0,0,0,0,0,390,200,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,15,215,605,2, ,1, ,2, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,04,04,1,2,211341003,377.939025878906,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,60,0,0,0,0,0,60,400,0, , ,10,0,35,0,0,0,0,0,0, , , , ,230,0,0,0,0,0,20,695,755,1,6,1, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,05,05,1,2,211341003,15.2553672790527,1, ,1,1,0,330,0,0,0,0, , , , ,0,0,140,0,0,0,0,0,470,300,0, , ,10,0,15,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,20,345,815,2, ,1, ,2, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,06,06,1,2,211341003,9.38173389434814,1, ,1,1,0,270,0,0,700,350, , ,1,1,0,0,270,0,0,0,0,290,1880,200,0, , ,10,0,25,0,50,0,0,0,0, , , , ,0,0,0,0,0,0,30,315,2195,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,07,07,1,2,211341003,195.045974731445,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,30,0,0,0,0,60,90,150,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,150,240,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,08,08,1,2,211341003,31.9422016143799,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,150,0,0,0,0,0,150,200,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,15,215,365,2, ,1, ,2, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,09,09,1,2,211341003,52.6927947998047,1, ,1,1,0,0,0,0,10220,9840, , ,8,7,0,0,9600,0,0,30,0,600,30290,8290,1440, , ,40,0,124,0,0,0,0,0,0, , , , ,0,0,0,0,200,0,85,10179,40469,1,3,1, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,10,10,1,2,211341003,49.2470893859863,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,270,0,0,0,0,0,270,614,480, , ,0,0,0,0,0,0,0,0,0, , , , ,125,0,0,0,0,0,20,1239,1509,2, ,1, ,2, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,11,11,1,2,211341003,44.7594184875488,1, ,1,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , ,0,2, ,1, ,2, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10892,01,01,1,2,211351003,.488275647163391,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,300,0,0,0,0,250,550,1750,0, , ,0,0,12,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,10,1772,2322,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10892,02,02,1,2,211351003,6.94669914245605,1, ,1,1,0,500,0,0,0,0, , , , ,0,0,350,0,0,0,0,100,950,1500,150, , ,0,0,40,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,10,1700,2650,2, ,2, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,01,01,1,2,211342003,18.2963466644287,1, ,1,1,0,0,0,0,0,0, , , , ,0,0,75,0,0,0,0,30,105,300,150, , ,0,0,50,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,15,525,630,1,1,1, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,02,02,1,2,211342003,86.6480407714844,1, ,1,1,0,100,0,0,70,0, , ,1, ,0,0,75,0,0,50,0,70,365,450,150, , ,10,0,60,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,35,715,1080,1,1,1, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,03,03,1,2,211342003,64.3998947143555,1, ,1,1,0,0,0,0,130,0, , ,1, ,0,0,175,0,0,30,0,50,385,120,0, , ,0,0,0,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,14,144,529,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,04,04,1,2,211342003,13.9626541137695,1, ,1,1,0,0,0,0,70,0, , ,1, ,0,0,500,0,0,30,0,75,675,420,120, , ,12,0,30,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,25,617,1292,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,05,05,1,2,211342003,497.900573730469,1, ,1,0,0,0,0,0,70,0, , ,1, ,0,0,0,0,0,20,0,40,130, , , , , , , , , , , , , , , , , , , , , , , , , ,130,1,3,2, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,06,06,1,2,211342003,45.3460273742676,1, ,1,1,0,0,0,0,70,0, , ,1, ,0,0,195,0,0,60,0,70,395,300,100, , ,25,0,45,15,0,0,0,0,0, , , , ,0,0,0,0,0,0,35,520,915,2, ,1, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,07,07,1,2,211342003,474.112854003906,1, ,1,0,0,0,0,0,120,0, , ,1, ,0,0,235,0,0,30,0,45,430, , , , , , , , , , , , , , , , , , , , , , , , , ,430,2, ,2, ,1, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,08,08,1,2,211342003,653.094055175781,1, ,1,0,0,0,0,0,70,0, , ,1, ,0,0,0,0,0,20,0,30,120, , , , , , , , , , , , , , , , , , , , , , , , , ,120,1,4,2, ,1, 
