ANIO,CCPP,NOMBREPV,CCDI,NOMBREDI,P1002B_TOTAL
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,09,SAN GABAN,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,03,AYAPATA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,04,COASA,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,03,CARABAYA,01,MACUSANI,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,07,SAN JUAN DEL ORO,NA
2014,12,SANDIA,09,ALTO INAMBARI,NA
