ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,Dominio,FACTOR,CODIGO,P102_1,P102_2,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00014,0001, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00027,0002, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00040,0003, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00053,0004, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00059,0005, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00072,0006, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00074,0007, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00087,0008, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00110,0009, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00111,0010, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00128,0011, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00137,0012, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00157,0013, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00166,0014, ,1,2,6,162.719047619,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00024,0002, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00028,0003, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00049,0004, ,1,3,7,50.0595238095,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00076,0006, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00089,0007, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00097,0008, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00118,0009, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00139,0010, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00151,0012, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
