ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00003,1, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00009,2, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00010,3, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00015,4, ,1,2,6,162.719047619048,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00025,5, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00033,6, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00047,7, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00056,8, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00067,9, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00071,10, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00073,11, ,1,2,6,162.719047619048,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00078,12, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00088,13, ,1,2,6,162.719047619048,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, ,2, , , , , , , , , 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00097,14, ,1,2,6,162.719047619048,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00007,1, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00020,2, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00033,3, ,1,2,6,162.719047619048,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2, ,1,0,1,0,0,0,0,0,0, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00038,4, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00045,5, ,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
