ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P904A,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00008,1,1,2,6,187.752747252747,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00015,2,1,2,6,187.752747252747,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00031,3,1,2,6,187.752747252747,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00037,4,1,2,6,187.752747252747,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00044,5,1,2,6,187.752747252747,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00046,6,1,2,6,187.752747252747,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00055,8,1,2,6,187.752747252747,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00066,9,1,2,6,187.752747252747,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00078,10,1,2,6,187.752747252747,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00094,12,1,2,6,187.752747252747,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00113,13,1,2,6,187.752747252747,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00116,14,1,2,6,187.752747252747,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,08,OLLACHEA,16824,00121,15,1,2,6,187.752747252747,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00024,1,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00030,2,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00044,3,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00045,4,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00070,5,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00080,6,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00091,7,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00092,8,1,3,7,37.3777777777778,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0, ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00107,9,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00109,10,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00111,11,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00142,12,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00155,13,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00159,14,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00175,15,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00003,1,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00008,2,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00032,3,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00068,4,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00093,5,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00096,6,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00106,7,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00112,8,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00113,9,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00141,10,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00155,11,1,3,7,37.3777777777778,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00166,12,1,3,7,37.3777777777778,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0, ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00172,13,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00194,14,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00197,15,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00002,1,1,2,6,162.719047619048,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00008,2,1,2,6,162.719047619048,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0, ,2, ,2, , , , , , , , , 
