ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P904A,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10884,01,01,1,2,211342001,108.581275939941,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10884,02,02,1,2,211342001,500.828948974609,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10884,03,03,1,2,211342001,90.6285018920898,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10884,04,04,1,2,211342001,78.3851699829102,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10885,01,01,1,2,211344002,33.8069877624512,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10885,02,02,1,2,211344002,39.4917335510254,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,07,UNICACHI,10885,03,03,1,2,211344002,10.7647542953491,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,05,OLLARAYA,10886,01,01,1,2,211341004,2.10555791854858,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,05,OLLARAYA,10886,02,02,1,2,211341004,12.2232675552368,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,05,OLLARAYA,10886,03,03,1,2,211341004,18.4510326385498,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
