ANIO,P901,P905,CCPP,NOMBREPV,CCDI,NOMBREDI
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,1,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,1,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,1,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,1,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,1,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,1,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,1,2,03,CARABAYA,09,SAN GABAN
2014,1,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,1,2,03,CARABAYA,09,SAN GABAN
2014,1,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,1,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,1,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,09,SAN GABAN
2014,2,2,03,CARABAYA,03,AYAPATA
2014,2,2,03,CARABAYA,03,AYAPATA
2014,2,2,03,CARABAYA,03,AYAPATA
2014,2,2,03,CARABAYA,03,AYAPATA
2014,2,2,03,CARABAYA,03,AYAPATA
2014,1,2,03,CARABAYA,03,AYAPATA
2014,2,2,03,CARABAYA,03,AYAPATA
2014,2,2,03,CARABAYA,03,AYAPATA
2014,2,2,03,CARABAYA,03,AYAPATA
2014,2,2,03,CARABAYA,03,AYAPATA
2014,1,2,03,CARABAYA,03,AYAPATA
2014,2,2,03,CARABAYA,03,AYAPATA
2014,2,2,03,CARABAYA,03,AYAPATA
2014,2,2,03,CARABAYA,04,COASA
2014,1,2,03,CARABAYA,04,COASA
2014,2,2,03,CARABAYA,04,COASA
2014,1,2,03,CARABAYA,04,COASA
2014,2,2,03,CARABAYA,04,COASA
2014,1,2,03,CARABAYA,04,COASA
2014,2,2,03,CARABAYA,04,COASA
2014,2,2,03,CARABAYA,04,COASA
2014,2,2,03,CARABAYA,04,COASA
2014,2,2,03,CARABAYA,04,COASA
2014,1,2,03,CARABAYA,04,COASA
2014,1,2,03,CARABAYA,04,COASA
2014,2,2,03,CARABAYA,04,COASA
2014,2,2,03,CARABAYA,04,COASA
2014,1,2,03,CARABAYA,01,MACUSANI
2014,2,2,03,CARABAYA,01,MACUSANI
2014,2,2,03,CARABAYA,01,MACUSANI
