P901,P905,CCPP,NOMBREPV,CCDI,NOMBREDI
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
1,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
1,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
1,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
1,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,1,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
1,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
1,2,03,CARABAYA,09,SAN GABAN
1,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
1,2,03,CARABAYA,09,SAN GABAN
1,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
1,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
1,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,09,SAN GABAN
2,2,03,CARABAYA,03,AYAPATA
2,2,03,CARABAYA,03,AYAPATA
2,2,03,CARABAYA,03,AYAPATA
2,2,03,CARABAYA,03,AYAPATA
2,2,03,CARABAYA,03,AYAPATA
1,2,03,CARABAYA,03,AYAPATA
2,2,03,CARABAYA,03,AYAPATA
2,2,03,CARABAYA,03,AYAPATA
2,2,03,CARABAYA,03,AYAPATA
2,2,03,CARABAYA,03,AYAPATA
1,2,03,CARABAYA,03,AYAPATA
2,2,03,CARABAYA,03,AYAPATA
2,2,03,CARABAYA,03,AYAPATA
2,2,03,CARABAYA,04,COASA
1,2,03,CARABAYA,04,COASA
2,2,03,CARABAYA,04,COASA
1,2,03,CARABAYA,04,COASA
2,2,03,CARABAYA,04,COASA
1,2,03,CARABAYA,04,COASA
2,2,03,CARABAYA,04,COASA
2,2,03,CARABAYA,04,COASA
2,2,03,CARABAYA,04,COASA
2,2,03,CARABAYA,04,COASA
1,2,03,CARABAYA,04,COASA
1,2,03,CARABAYA,04,COASA
2,2,03,CARABAYA,04,COASA
2,2,03,CARABAYA,04,COASA
1,2,03,CARABAYA,01,MACUSANI
2,2,03,CARABAYA,01,MACUSANI
2,2,03,CARABAYA,01,MACUSANI
2,2,03,CARABAYA,01,MACUSANI
2,1,03,CARABAYA,01,MACUSANI
1,2,03,CARABAYA,01,MACUSANI
2,1,03,CARABAYA,01,MACUSANI
2,2,03,CARABAYA,01,MACUSANI
1,2,03,CARABAYA,01,MACUSANI
1,2,03,CARABAYA,01,MACUSANI
1,2,03,CARABAYA,01,MACUSANI
2,2,03,CARABAYA,01,MACUSANI
2,2,03,CARABAYA,01,MACUSANI
1,2,03,CARABAYA,01,MACUSANI
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
1,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
1,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
1,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
1,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,1,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
1,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
1,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,07,SAN JUAN DEL ORO
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
1,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
2,2,12,SANDIA,09,ALTO INAMBARI
